QueryId,DocumentId
303,APW19990108.0103
303,APW19990108.0283
303,NYT19990310.0333
303,NYT19991222.0420
303,APW19990310.0063
303,APW19990516.0013
303,APW19990516.0127
303,NYT19991221.0351
303,NYT19991215.0229
303,XIE19970513.0108
303,NYT19990310.0503
303,XIE19990109.0245
303,NYT20000602.0093
303,XIE19970221.0084
303,APW19990310.0167
303,APW19990311.0166
303,APW19990224.0040
303,APW19990224.0042
303,APW19990120.0256
303,XIE19980610.0069
303,NYT19990107.0373
303,NYT19991223.0360
303,XIE20000522.0056
303,XIE19970211.0046
303,NYT19991219.0272
303,XIE19991228.0201
303,NYT19991215.0237
303,NYT19991222.0449
303,XIE19961108.0181
303,XIE19970211.0115
303,NYT19991115.0396
303,NYT19991206.0115
303,NYT20000602.0091
303,NYT20000602.0092
303,NYT19991115.0309
303,APW19990519.0068
303,APW19990519.0070
303,APW19990519.0141
303,NYT19991223.0308
303,NYT19991223.0384
303,NYT19991228.0262
303,NYT19990719.0430
303,APW19991006.0285
303,NYT20000210.0063
303,NYT19990826.0251
303,NYT19981008.0371
303,XIE19981010.0047
303,APW19990428.0195
303,NYT19991220.0383
303,NYT19990718.0148
303,APW19990525.0223
303,APW19990417.0073
303,APW19990417.0118
303,APW19990826.0244
303,APW19990718.0024
303,NYT19991105.0298
303,APW19990724.0076
303,APW19990416.0258
303,APW19990416.0302
303,NYT19991213.0349
303,XIE19990416.0045
303,NYT19981008.0331
303,APW19991006.0154
303,APW19981008.1253
303,NYT19980611.0392
303,NYT19990329.0296
303,NYT19990211.0114
303,NYT19991221.0114
303,NYT19981019.0198
303,NYT19991214.0327
303,NYT19990525.0358
303,NYT19990526.0001
303,NYT20000518.0275
303,NYT19990108.0368
303,NYT19990909.0337
303,APW19990209.0343
303,APW19990209.0357
303,APW19990209.0359
303,APW19990210.0167
303,APW19990210.0168
303,APW19990210.0356
303,APW19990210.0359
303,APW19980715.1061
303,NYT19981123.0242
303,NYT19990813.0203
303,NYT19990520.0073
303,NYT20000529.0117
303,APW19990909.0053
303,NYT19990809.0281
303,APW19990624.0050
303,APW19990602.0158
303,NYT19990607.0234
303,XIE19971008.0082
303,APW19990601.0297
303,XIE19980306.0339
303,NYT19990601.0311
303,APW19991013.0171
303,APW19991007.0315
303,NYT19981228.0315
303,APW19980609.1531
307,XIE19990501.0067
307,XIE19970120.0005
307,XIE19981121.0137
307,XIE19961203.0196
307,APW19980602.0026
307,XIE19990512.0176
307,XIE19960815.0223
307,XIE19980915.0116
307,XIE20000303.0117
307,XIE19981006.0142
307,XIE19981007.0271
307,XIE20000824.0267
307,XIE19961004.0058
307,XIE19981111.0261
307,XIE19970621.0161
307,XIE19970306.0116
307,XIE19960305.0207
307,XIE20000627.0017
307,XIE19960929.0108
307,XIE19990310.0336
307,XIE19960414.0024
307,XIE19981213.0121
307,NYT20000801.0357
307,XIE20000202.0158
307,XIE19980918.0161
307,APW19981111.0561
307,XIE19960618.0150
307,XIE19960619.0030
307,XIE19960308.0121
307,XIE19960318.0051
307,XIE19960928.0013
307,XIE19961217.0184
307,XIE19970212.0184
307,XIE19980702.0209
307,XIE19991017.0017
307,XIE19961025.0255
307,XIE19971223.0243
307,XIE19961017.0153
307,XIE20000904.0217
307,XIE19961210.0221
307,XIE19960713.0175
307,XIE19980828.0050
307,XIE19971217.0154
307,XIE19970114.0096
307,XIE19970925.0279
307,XIE19980424.0279
307,XIE19970323.0146
307,XIE19960506.0029
307,XIE19960107.0117
307,XIE19961111.0203
307,XIE19980126.0010
307,XIE19961021.0205
307,XIE19970811.0146
307,XIE19980529.0217
307,XIE19971202.0007
307,XIE19990610.0250
307,XIE19970304.0350
307,XIE19980206.0059
307,XIE19971211.0333
307,APW19980709.0263
307,XIE19960412.0138
307,XIE19980818.0208
307,XIE20000703.0032
307,XIE19960913.0269
307,XIE19970324.0007
307,XIE19980226.0127
307,XIE19960612.0119
307,XIE19970101.0068
307,XIE19971202.0110
307,XIE20000601.0267
307,XIE19971211.0031
307,APW19980731.0324
307,XIE19961204.0095
307,APW19980604.1359
307,XIE19980818.0211
307,XIE20000404.0099
307,XIE19990624.0186
307,XIE19990326.0326
307,XIE19971218.0166
307,XIE19981201.0195
307,XIE19960120.0138
307,XIE20000728.0086
307,XIE20000602.0307
307,XIE20000602.0262
307,XIE20000518.0370
307,XIE20000709.0079
307,XIE19980310.0277
307,XIE20000705.0141
307,XIE19970502.0182
307,NYT19980923.0435
307,XIE19961006.0133
307,NYT19990712.0395
307,XIE19970311.0198
307,XIE19960701.0152
307,XIE20000228.0166
307,XIE19970626.0049
307,XIE19970726.0166
307,NYT19990312.0334
307,APW19990701.0095
307,XIE19980820.0276
310,XIE19970830.0001
310,NYT20000726.0313
310,NYT19991025.0333
310,APW20000608.0153
310,APW19980603.0791
310,NYT19990809.0225
310,XIE19960410.0180
310,NYT20000328.0130
310,APW19990609.0250
310,APW19990609.0203
310,NYT19990624.0133
310,NYT19990907.0397
310,NYT19990318.0158
310,APW20000211.0053
310,XIE19990129.0038
310,NYT19990729.0065
310,NYT19990405.0532
310,NYT19991018.0256
310,NYT19990323.0202
310,NYT19990805.0436
310,NYT19980623.0472
310,NYT19991003.0719
310,NYT20000712.0030
310,NYT19990125.0146
310,NYT19990622.0040
310,APW19991004.0134
310,XIE20000215.0079
310,APW19990805.0220
310,XIE19980919.0102
310,APW19990228.0099
310,APW19990513.0124
310,XIE20000110.0124
310,NYT19990222.0464
310,XIE19980714.0311
310,APW19990622.0178
310,APW20000228.0152
310,NYT19990201.0297
310,NYT20000529.0120
310,NYT20000602.0065
310,APW19990324.0010
310,APW19981028.1270
310,APW19990210.0262
