QueryId,DocumentId
303,XIE19980104.0067
303,NYT19990727.0136
303,NYT19990727.0137
303,XIE20000602.0182
303,XIE19980409.0101
303,XIE19990422.0122
303,XIE19970207.0066
303,XIE19990310.0288
303,NYT19990718.0080
303,XIE19961126.0210
303,NYT20000731.0236
303,XIE20000709.0141
303,XIE19980314.0188
303,XIE19980409.0100
303,XIE19961213.0164
303,XIE19970414.0175
303,XIE20000928.0115
303,XIE19990723.0261
303,XIE19980312.0246
303,XIE19990415.0146
303,APW19981230.1117
303,XIE19960104.0154
303,XIE19991122.0177
303,XIE19960113.0129
303,XIE19961121.0310
303,XIE19990202.0076
303,XIE19970910.0263
303,XIE19960904.0234
303,XIE19971205.0043
303,XIE19980814.0239
303,XIE19980205.0211
303,XIE20000527.0038
303,XIE19960617.0060
303,NYT20000418.0059
303,XIE19990224.0046
303,XIE19990428.0126
303,XIE19970916.0143
303,XIE19990224.0050
303,XIE20000529.0091
303,XIE19980604.0142
303,XIE19961107.0192
303,NYT19980923.0372
303,NYT19980923.0381
303,XIE19980214.0149
303,XIE19991104.0292
303,XIE19970524.0092
303,XIE19970621.0182
303,XIE19970913.0062
303,XIE19991212.0193
303,XIE19960319.0170
303,XIE20000805.0060
303,XIE19991101.0047
303,APW19990625.0234
303,APW19990802.0258
303,XIE19960908.0089
303,XIE19970825.0096
303,XIE19990114.0168
303,XIE19990913.0221
303,XIE19960118.0297
303,XIE19990310.0214
303,XIE19960919.0126
303,XIE19991012.0188
303,XIE19970224.0068
303,XIE19961002.0158
303,XIE19960607.0115
303,XIE19970429.0097
303,XIE19990920.0176
303,XIE19960924.0128
303,XIE19990419.0204
303,XIE19970926.0108
303,XIE19971202.0228
303,XIE19980709.0149
303,XIE19970311.0271
303,XIE19960610.0087
303,NYT19991211.0005
303,XIE19961209.0111
303,XIE19970930.0189
303,APW19990729.0281
303,XIE19961125.0074
303,XIE19970915.0171
303,NYT19990826.0279
303,XIE19961107.0188
303,XIE19970919.0036
303,NYT20000814.0277
303,XIE20000412.0148
303,XIE20000222.0335
303,XIE19980430.0057
303,XIE19981010.0132
303,XIE19990903.0523
303,XIE19991022.0148
303,XIE19960928.0097
303,XIE19970131.0063
303,XIE19980618.0005
303,XIE19990710.0075
303,XIE20000217.0315
