QueryId,DocumentId
303,APW19990826.0244
303,XIE19970513.0108
303,APW19991013.0171
303,APW19990103.0035
303,NYT20000218.0252
303,NYT19981024.0065
303,NYT19990616.0208
303,NYT19990616.0209
303,NYT19990616.0212
303,NYT19990616.0213
303,NYT19990616.0216
303,NYT19990616.0217
303,NYT19990617.0078
303,NYT19990617.0079
303,NYT19990617.0082
303,NYT19990617.0083
303,NYT19990617.0086
303,NYT19990617.0087
303,XIE19990715.0287
303,XIE19980320.0170
303,NYT19981030.0350
303,NYT19990120.0276
303,NYT19990723.0317
303,NYT19990108.0170
303,NYT19980824.0264
303,XIE19970207.0066
303,XIE19980314.0188
303,XIE19970910.0263
303,XIE19970103.0082
303,XIE19980205.0211
303,XIE19980104.0067
303,XIE19991122.0177
303,XIE20000602.0182
303,XIE19960617.0060
303,XIE19970913.0062
303,XIE19990913.0221
303,XIE19970524.0092
303,XIE19970429.0097
303,XIE19961122.0037
303,XIE19960924.0128
303,XIE19960816.0067
303,XIE19971228.0136
303,XIE19960509.0045
303,XIE19960928.0097
303,XIE19961205.0084
303,XIE20000217.0146
303,XIE19970906.0065
303,XIE19961002.0206
303,XIE19990922.0142
303,XIE20000222.0335
303,XIE20000322.0236
303,XIE19980128.0149
303,XIE20000310.0222
303,XIE19991109.0085
303,XIE20000406.0286
303,XIE20000426.0083
303,XIE19980223.0134
303,XIE19990304.0092
303,XIE20000406.0100
303,XIE19990205.0151
303,XIE19990920.0029
303,XIE19971129.0145
303,XIE19960625.0284
303,XIE19960606.0104
303,XIE20000613.0276
303,XIE19960421.0171
303,XIE19980101.0135
303,XIE19990921.0018
303,XIE19970808.0110
303,XIE19990916.0161
303,XIE19980102.0005
303,XIE19990930.0118
303,XIE19990925.0190
303,XIE20000527.0037
303,XIE19971226.0192
303,XIE19991001.0150
303,XIE19960815.0214
303,XIE19960817.0065
303,XIE19960418.0009
303,XIE19960228.0138
303,XIE19981022.0262
303,XIE20000521.0058
303,XIE19990929.0144
303,XIE19961007.0078
303,XIE19971024.0073
303,XIE19980116.0129
303,XIE19961010.0068
